Year,Inland fish,Flat fish,"Indian Shad Sardines, Anchovies,etc.",Tunas etc.,Miscellaneous Marine teleousteans,"Elasmobranchs (Shark,Rays,Skates,etc)","Decapods (Prawn,Crabs etc.)",Total Catch & Landings
2000,2825.8,18.6,401.8,320.9,1630.2,76.1,340.4,5613.8
2001,3121.7,14.6,424.8,477.4,1514.4,68,316.3,5937.2
2002,3165.9,20.1,344.2,432.7,1789.4,66.9,307.8,6127
2003,3220.4,21.4,374.4,323.6,1850,63.8,321.5,6175.1
2004,3527.5,19.3,372.8,310.5,1738,79.8,343.3,6391.2
2005,3727.4,19.2,359.5,433.4,1600.2,61.1,374.2,6574.8
2006,3750.7,20.6,486,525.6,1585.7,66.6,373.2,6808.4
2007,4325,28.2,367.4,64.3,2208.4,85.4,349,7427.7
2008,4498.4,27.4,420.1,76.9,2095.8,80.6,396.1,7595.3
2009,4660.5,21.1,412.6,66.8,2173.7,73.3,332.1,7740.1
2010,5094.7,33.5,427.7,136.8,2272.5,60.3,298.4,8323.9
2011,4959.9,43.3,495.6,66,2176.8,71,371.2,8183.8
2012,5609.7,36.5,518.6,88.1,2233.1,75.8,392.7,8954.5
