state,coastal_length_km,fisherfolk_population,coop_members_fisheries,coop_members_other,coop_members_total,mechanized_crafts_total,motorized_crafts_total,non_motorized_crafts,total_crafts
West Bengal,158,368816,9810,6268,16078,4014.0,6564.0,476.0,11054.0
Odisha,480,517623,23837,28186,52023,1748.0,5678.0,1256.0,8682.0
Andhra Pradesh,974,517435,44488,89463,133951,1176.0,12078.0,6965.0,20219.0
Tamil Nadu,1076,795708,339607,34463,374070,5961.0,31279.0,6115.0,43355.0
Puducherry,45,50270,23329,2191,25520,301.0,1362.0,656.0,2319.0
Kerala,590,563903,142035,67534,209569,3800.0,13868.0,4016.0,21684.0
Karnataka,300,157989,43395,13359,56754,3780.0,5879.0,2225.0,11884.0
Goa,104,12651,1557,500,2057,858.0,942.0,182.0,1982.0
Maharashtra,720,364899,72289,12019,84308,5867.0,6788.0,2865.0,15520.0
Gujarat,1600,354992,5795,235,6030,14061.0,12825.0,756.0,27642.0
Daman & Diu,21,15836,802,137,939,1419.0,396.0,177.0,1992.0
Lakshadweep,132,27934,320,2157,2477,,,,
Andaman & Nicobar,1962,26521,569,193,762,,,,
